X Accel,Y Accel,Z Accel,X Rotation,Y Rotation,Z Rotation,time,V,Prev V
0.227304467,0.226571272,9.834812008,-0.05,0,-0.02,1.685259819,0,0
0.199938658,0.16886077,9.811271727,-0.06,0,-0.02,1.73932457,0,0
0.181338417,0.148102515,9.827312854,-0.05,-0.01,-0.02,1.794289351,0,0
0.194077936,0.192484862,9.840309855,-0.05,-0.01,-0.02,1.849980116,0,0
0.210684758,0.220905714,9.837799583,-0.06,-0.01,-0.01,1.904357672,0,0
0.206781834,0.200918006,9.847685321,-0.05,-0.01,-0.02,1.958007097,0,0
0.204597615,0.183752483,9.870495825,-0.06,0,-0.02,2.013351917,0,0
0.217207822,0.179851155,9.879579401,-0.06,-0.02,-0.02,2.068109512,0,0
0.22207623,0.156974468,9.860067322,-0.05,-0.01,-0.02,2.124321222,0,0
0.218109029,0.138813976,9.827812161,-0.05,-0.01,-0.02,2.179296017,0,0
0.21705038,0.1708204,9.818791954,-0.05,-0.01,-0.02,2.234279156,0,0
0.198819654,0.218983009,9.840308771,-0.05,-0.01,-0.02,2.290312767,0,0
0.169568148,0.217557504,9.859772133,-0.06,-0.01,-0.01,2.343693972,0,0
0.184724091,0.178885228,9.863006582,-0.05,-0.01,-0.01,2.399158716,0,0
0.238097451,0.15848979,9.860335467,-0.05,-0.01,-0.02,2.455226183,0,0
0.249452725,0.165696532,9.846509245,-0.06,0,-0.02,2.508744478,0,0
0.206654154,0.180873051,9.827828192,-0.05,-0.01,-0.02,2.563243866,0,0
0.183324777,0.198368813,9.831124728,-0.05,-0.01,-0.02,2.619095325,0,0
0.204089902,0.210097626,9.844814511,-0.05,-0.01,-0.02,2.675084352,0,0
0.220293418,0.195252582,9.840375658,-0.05,-0.01,-0.02,2.729664326,0,0
0.205394838,0.153659187,9.834583423,-0.06,0,-0.02,2.783759117,0,0
0.180047616,0.127336127,9.842691341,-0.05,-0.01,-0.03,2.840661764,0,0
0.172339161,0.150973643,9.839041113,-0.05,-0.01,-0.03,2.895146847,0,0
0.193155255,0.191576696,9.819370397,-0.05,0,-0.02,2.952666283,0,0
0.22393672,0.197704748,9.81267975,-0.05,-0.01,-0.02,3.007275105,0,0
0.238591217,0.180241026,9.821755174,-0.04,0,-0.05,3.058940649,0,0
0.227457929,0.177863836,9.829154902,-0.04,-0.01,-0.05,3.108810425,0,0
0.183618732,0.196159072,9.8334495,-0.05,-0.01,-0.02,3.168744564,0,0
0.132087187,0.215723757,9.836934039,-0.05,-0.02,0,3.224760771,0,0
0.137154762,0.207397108,9.844357871,-0.05,-0.03,-0.02,3.280765533,0,0
0.193448214,0.16531169,9.86775852,-0.04,0.01,-0.01,3.337846994,0,0
0.218313027,0.144336884,9.88507026,-0.06,-0.03,-0.01,3.39091897,0,0
0.194309293,0.181854656,9.853679089,-0.05,0,-0.01,3.445188046,0,0
0.178008903,0.210704838,9.805431957,-0.05,-0.01,-0.02,3.500819445,0,0
0.197008639,0.170160055,9.817574363,-0.05,-0.01,-0.02,3.557290792,0,0
0.237492322,0.136560718,9.861886269,-0.04,-0.01,-0.02,3.61002183,0,0
0.263353848,0.195290962,9.844053522,-0.07,-0.03,0,3.666113138,0,0
0.234938376,0.266530503,9.791613353,-0.06,0.03,0.01,3.722652435,0,0
0.172603919,0.22662883,9.801332897,-0.04,-0.03,0.01,3.776125669,0,0
0.141183998,0.120720996,9.85241375,-0.05,0,-0.01,3.831118584,0,0
0.147696897,0.092277168,9.862818891,-0.06,-0.01,-0.03,3.88692522,0,0
0.155520607,0.168783015,9.829867455,-0.05,-0.01,-0.01,3.941138744,0,0
0.176091451,0.23990398,9.801479091,-0.07,-0.01,-0.01,3.997379065,0,0
0.224761621,0.214972529,9.805116481,-0.06,0.01,0.01,4.052097559,0,0
0.24549127,0.135613565,9.829216408,-0.06,-0.01,-0.02,4.107187033,0,0
0.204123336,0.111843576,9.844327148,-0.05,-0.01,-0.03,4.165266514,0,0
0.167852951,0.167067417,9.847676186,-0.04,0,-0.03,4.219470739,0,0
0.180927856,0.215731884,9.847761516,-0.05,-0.01,-0.04,4.272233486,0,0
0.182802856,0.199128819,9.836465404,-0.05,0,-0.02,4.328208923,0,0
0.142061794,0.156653453,9.828732956,-0.06,-0.01,-0.01,4.384041309,0,0
0.123470739,0.14756179,9.850688146,-0.06,-0.01,-0.01,4.440073967,0,0
0.158670867,0.168158935,9.872336348,-0.05,-0.01,-0.01,4.495727062,0,0
0.201105516,0.168062019,9.849709522,-0.06,-0.02,-0.01,4.553382158,0,0
0.21900565,0.13281638,9.810522321,-0.05,-0.01,0,4.605434895,0,0
