X Accel,Y Accel,Z Accel,X Rotation,Y Rotation,Z Rotation,time,V,Prev V
0.249540821,-0.967533106,9.806733285,-0.06,-0.02,-0.02,12.66990113,0,0
0.197008535,-1.066370534,9.793285338,-0.06,0,-0.03,12.72432351,0,0
0.139150972,-1.111752215,9.82183717,-0.04,-0.01,-0.02,12.77969241,0,0
0.113479751,-1.061688207,9.806734102,-0.05,-0.02,-0.01,12.83573389,0,0
0.174548789,-0.957168744,9.731030058,-0.04,-0.01,-0.01,12.89160514,0,0
0.313696488,-0.876677746,9.725992579,-0.03,0,0,12.94769573,0,0
0.43187552,-0.887913784,9.808811449,-0.04,-0.01,0.01,13.00382209,0,0
0.42960913,-0.953550399,9.867248905,-0.06,-0.01,-0.01,13.0584352,0,0
0.311893135,-0.922721805,9.864918101,-0.06,0,-0.03,13.11408687,0,0
0.183499411,-0.716847086,9.828710259,-0.05,0,-0.04,13.16888285,0,0
0.117330954,-0.467348203,9.78558771,-0.05,-0.03,-0.04,13.22530031,0,0
0.081797698,-0.350300775,9.798117354,-0.05,-0.01,-0.03,13.28063464,0,0
0.059144869,-0.355839468,9.872078731,-0.05,0,-0.02,13.33680749,0,0
0.107949332,-0.365147541,9.904907135,-0.06,-0.02,-0.01,13.39225554,0,0
0.217819566,-0.367722817,9.860972354,-0.05,0.01,0,13.4481318,0,0
0.291690744,-0.414648769,9.810642477,-0.04,0.01,0,13.50222969,0,0
0.327812445,-0.443428329,9.78777136,-0.04,-0.01,0,13.55833626,0,0
0.376496565,-0.375988418,9.801829402,-0.05,-0.02,-0.02,13.61394,0,0
0.347998144,-0.309683494,9.866364175,-0.04,0,-0.02,13.67045188,0,0
0.159069299,-0.363995821,9.913239945,-0.06,0,-0.04,13.72643566,0,0
-0.025254255,-0.437295401,9.877650287,-0.08,-0.02,-0.04,13.78137946,0,0
0.002847168,-0.389465848,9.844084488,-0.05,-0.02,-0.02,13.83787584,0,0
0.172442312,-0.335108336,9.900907077,-0.03,-0.01,0,13.89400816,0,0
0.273118747,-0.445465981,9.957776812,-0.05,0,0,13.94853425,0,0
0.272512126,-0.609663274,9.891304033,-0.06,0,-0.01,14.00429463,0,0
0.272448396,-0.619015954,9.765584606,-0.05,-0.02,-0.01,14.06050754,0,0
0.279098884,-0.528029761,9.740674393,-0.05,-0.01,-0.02,14.11589479,0,0
0.232282361,-0.522843841,9.809493644,-0.06,0,-0.03,14.17220235,0,0
0.168582344,-0.596468972,9.819016135,-0.06,-0.01,-0.03,14.22761774,0,0
0.161636045,-0.623167744,9.765337591,-0.05,-0.01,-0.02,14.2839644,0,0
0.190176299,-0.592584857,9.794965887,-0.05,0,-0.01,14.34009862,0,0
0.212758879,-0.566057684,9.878489008,-0.05,0.01,-0.01,14.39472175,0,0
0.243148041,-0.554852383,9.845973808,-0.05,-0.02,-0.01,14.45028377,0,0
0.251918111,-0.559641178,9.745361068,-0.07,-0.01,-0.02,14.50875759,0,0
0.164264563,-0.588831509,9.762445232,-0.07,-0.01,-0.03,14.56260014,0,0
0.019278289,-0.608910702,9.861372638,-0.05,-0.02,-0.03,14.61789632,0,0
-0.036015793,-0.591604609,9.876512823,-0.06,-0.02,-0.03,14.67435288,0,0
0.060837378,-0.569834809,9.825373405,-0.05,-0.02,-0.02,14.73038363,0,0
0.232336276,-0.578769874,9.825464904,-0.04,0,0.01,14.78617716,0,0
0.379591869,-0.609757052,9.840419516,-0.03,-0.01,0.01,14.84130502,0,0
0.442432414,-0.624121645,9.76269165,-0.04,-0.01,-0.01,14.89618587,0,0
0.388664378,-0.56115488,9.657394946,-0.06,-0.01,-0.03,14.95235109,0,0
0.258462279,-0.414960654,9.697617528,-0.06,-0.01,-0.04,15.00782919,0,0
0.16914671,-0.326587128,9.87656601,-0.05,-0.01,-0.03,15.06445098,0,0
